702975568,2001,ACURA,CL,126311
862197617,2001,ACURA,EL,140577
783948402,2001,ACURA,INTEGRA,238173
954701689,2001,ACURA,MDX,165552
644107670,2001,ACURA,NSX,15707
666653446,2001,ACURA,RL,54646
954839581,2001,ACURA,TL,192600
512947280,2001,AUDI,A3,116634
542182759,2001,AUDI,A4,21122
996158408,2001,AUDI,A4 QUATTRO,206380
833471505,2001,AUDI,A6,122548
998954009,2001,AUDI,A6 QUATTRO,92272
532177696,2001,AUDI,A8 QUATTRO,6289
710490892,2001,AUDI,ALLROAD QUATTRO,240309
560284263,2001,AUDI,S3,15183
253268810,2001,AUDI,S4,182684
307780717,2001,AUDI,S6,23425
528712154,2001,AUDI,S8,192705
685606614,2001,AUDI,TT,201342
313036380,2001,AUDI,TT QUATTRO,124457
540678052,2001,BMW,320I,231058
807763670,2001,BMW,323I,85663
878946518,2001,BMW,325CI,84524
902865961,2001,BMW,325I,38388
900782931,2001,BMW,325XI,182233
497370798,2001,BMW,330CI,156903
319753556,2001,BMW,330I,137644
758804227,2001,BMW,330XI,70484
896894294,2001,BMW,525I,236865
771502573,2001,BMW,530I,160924
145511112,2001,BMW,540I,113395
723704338,2001,BMW,740I,27568
955161714,2001,BMW,740IL,42726
739503193,2001,BMW,750IL,168225
234638062,2001,BMW,F650 ENDURO,184707
910905440,2001,BMW,F650CS,5064
633398045,2001,BMW,F650GS,23638
664662163,2001,BMW,F650GS ABS,36360
153805430,2001,BMW,F650GS DAKAR,74594
984851526,2001,BMW,K1200LT,220216
371138668,2001,BMW,K1200LTC,27033
452722902,2001,BMW,K1200LTI ICON,240477
498397073,2001,BMW,K1200RS,76839
484437042,2001,BMW,M3,38361
171784212,2001,BMW,M5,67184
788987818,2001,BMW,R1100RL,139692
317685599,2001,BMW,R1100RS ABS,65187
494481170,2001,BMW,R1100RT,176100
938519337,2001,BMW,R1100S,197243
759606499,2001,BMW,R1100SA,5540
326599530,2001,BMW,R1150GS,91789
453354942,2001,BMW,R1150R,225486
472706416,2001,BMW,R1150RS,42223
857220519,2001,BMW,R1150RT,171244
937575118,2001,BMW,R1200C,61129
827799523,2001,BMW,R1200C AVANTGARDE,167636
873988847,2001,BMW,R1200C CLASSIC,25052
207105123,2001,BMW,R1200C EURO,228801
219838196,2001,BMW,R1200C INDEPENDENT,42986
163905994,2001,BMW,R1200C MONTANA,211136
698383046,2001,BMW,R1200C PHOENIX,172816
450210218,2001,BMW,R1200C STILETTO,68085
270296083,2001,BMW,R850R,65653
635907677,2001,BMW,X5,51405
884610648,2001,BMW,Z3,152558
814817112,2001,BMW,Z8,24843
706398344,2001,BUICK,CENTURY,49662
428897269,2001,BUICK,LESABRE,218040
223668749,2001,BUICK,PARK AVENUE,82454
355908544,2001,BUICK,REGAL,53152
726708703,2001,CADILLAC,CATERA,210866
348649380,2001,CADILLAC,DEVILLE,4175
252192818,2001,CADILLAC,ELDORADO,186012
923209594,2001,CADILLAC,SEVILLE,190411
513619815,2001,CHEVROLET,ASTRA,186223
366433651,2001,CHEVROLET,ASTRO,23777
691257667,2001,CHEVROLET,B7,18818
889320550,2001,CHEVROLET,BLAZER,201261
704258053,2001,CHEVROLET,C3500,50974
910977448,2001,CHEVROLET,C3500HD,128994
811199958,2001,CHEVROLET,C6500 KODIAK,7500
682245522,2001,CHEVROLET,C7500 KODIAK,87151
865712680,2001,CHEVROLET,CAMARO,70874
179871211,2001,CHEVROLET,CAVALIER,78982
262045491,2001,CHEVROLET,CHEVY,112358
819798176,2001,CHEVROLET,CHEVY PICKUP,184231
489257659,2001,CHEVROLET,CORVETTE,60749
998749686,2001,CHEVROLET,EXPRESS 1500,95322
358654934,2001,CHEVROLET,EXPRESS 2500,19364
343620003,2001,CHEVROLET,EXPRESS 3500,184466
325440674,2001,CHEVROLET,G30,30177
573210218,2001,CHEVROLET,IMPALA,138939
469542884,2001,CHEVROLET,LUMINA,218085
363668681,2001,CHEVROLET,LUV,94261
997778524,2001,CHEVROLET,MALIBU,213903
472531214,2001,CHEVROLET,METRO,34545
394019687,2001,CHEVROLET,MONTE CARLO,4867
712535040,2001,CHEVROLET,P30,92442
807613750,2001,CHEVROLET,PRIZM,157156
983068623,2001,CHEVROLET,S10,102009
261800692,2001,CHEVROLET,SILVERADO 1500,114138
812055594,2001,CHEVROLET,SILVERADO 1500 HD,239321
412868117,2001,CHEVROLET,SILVERADO 2500,220779
861215395,2001,CHEVROLET,SILVERADO 2500 HD,3521
513192489,2001,CHEVROLET,SILVERADO 3500,102625
868395536,2001,CHEVROLET,SONORA,107171
426811665,2001,CHEVROLET,SUBURBAN 1500,139741
928021109,2001,CHEVROLET,SUBURBAN 2500,40745
953710857,2001,CHEVROLET,T6500,120365
105320336,2001,CHEVROLET,T7500,205810
369979505,2001,CHEVROLET,TAHOE,218009
301150746,2001,CHEVROLET,TRACKER,202567
816920305,2001,CHEVROLET,VENTURE,88759
705592198,2001,CHEVROLET,W3500 TILTMASTER,71557
338251985,2001,CHEVROLET,W4500 TILTMASTER,186451
204423369,2001,CHEVROLET,W5500 TILTMASTER,174572
767550270,2001,CHRYSLER,300M,67767
355265010,2001,CHRYSLER,CIRRUS,41537
841265883,2001,CHRYSLER,CONCORDE,114254
661351329,2001,CHRYSLER,GRAND VOYAGER,26001
357141408,2001,CHRYSLER,INTREPID,94026
151049083,2001,CHRYSLER,LHS,71762
623949497,2001,CHRYSLER,NEON,166831
180314727,2001,CHRYSLER,PROWLER,129400
165873851,2001,CHRYSLER,PT CRUISER,79386
389366431,2001,CHRYSLER,SEBRING,211483
574918516,2001,CHRYSLER,TOWN & COUNTRY,209521
828133862,2001,CHRYSLER,VOYAGER,176788
968279476,2001,DODGE,ATOS,87767
120910911,2001,DODGE,CARAVAN,157293
344573119,2001,DODGE,DAKOTA,111315
601079074,2001,DODGE,DURANGO,27545
682155995,2001,DODGE,GRAND CARAVAN,232189
529355820,2001,DODGE,INTREPID,29333
371190420,2001,DODGE,NEON,144060
439136820,2001,DODGE,RAM 1500,96322
350152614,2001,DODGE,RAM 1500 PICKUP,159760
647645299,2001,DODGE,RAM 1500 TRUCK,68882
368808141,2001,DODGE,RAM 1500 VAN,162370
532890661,2001,DODGE,RAM 2500,134698
295829984,2001,DODGE,RAM 2500 PICKUP,84563
712917505,2001,DODGE,RAM 2500 TRUCK,200258
944352847,2001,DODGE,RAM 2500 VAN,75975
495281714,2001,DODGE,RAM 3500,173308
927848672,2001,DODGE,RAM 3500 PICKUP,178091
782528233,2001,DODGE,RAM 3500 TRUCK,177350
958126475,2001,DODGE,RAM 3500 VAN,187439
751627947,2001,DODGE,RAM 4000,34485
265618717,2001,DODGE,STRATUS,42661
454264365,2001,DODGE,VIPER,211115
435834929,2001,FORD,COURIER,54533
908099147,2001,FORD,CROWN VICTORIA,5598
